Регион;Округ;Год;Показатель;№ строки;Единица измерения; Значение 
Республика Алтай;СФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;350000
Республика Алтай;СФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;200
Республика Алтай;СФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;1500
Республика Алтай;СФО;2021;      в печатных средствах массовой информации;39;ед;250
Республика Алтай;СФО;2021;      в интернет-СМИ;40;ед;1100
Республика Алтай;СФО;2021;      ТВ-сюжетов;41;ед;150
Республика Алтай;СФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;113
Республика Алтай;СФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;2
Республика Алтай;СФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;5005
Республика Алтай;СФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;834
Алтайский край;СФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;35000
Алтайский край;СФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;171600
Алтайский край;СФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;1006370
Алтайский край;СФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;48
Алтайский край;СФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;169
Алтайский край;СФО;2021;      в печатных средствах массовой информации;39;ед;48
Алтайский край;СФО;2021;      в интернет-СМИ;40;ед;87
Алтайский край;СФО;2021;      ТВ-сюжетов;41;ед;34
Алтайский край;СФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;23
Алтайский край;СФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;16
Алтайский край;СФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;4801
Алтайский край;СФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;2525
Амурская область;ДФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;5881
Амурская область;ДФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;298900
Амурская область;ДФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб; -   
Амурская область;ДФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;32
Амурская область;ДФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;281
Амурская область;ДФО;2021;      в печатных средствах массовой информации;39;ед;45
Амурская область;ДФО;2021;      в интернет-СМИ;40;ед;182
Амурская область;ДФО;2021;      ТВ-сюжетов;41;ед;54
Амурская область;ДФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;1
Амурская область;ДФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;1
Амурская область;ДФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;2998
Амурская область;ДФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;359
Архангельская область;СЗФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;18554
Архангельская область;СЗФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;886688
Архангельская область;СЗФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;5000000
Архангельская область;СЗФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;206
Архангельская область;СЗФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;13926
Архангельская область;СЗФО;2021;      в печатных средствах массовой информации;39;ед;583
Архангельская область;СЗФО;2021;      в интернет-СМИ;40;ед;13147
Архангельская область;СЗФО;2021;      ТВ-сюжетов;41;ед;196
Архангельская область;СЗФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;50
Архангельская область;СЗФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;16
Архангельская область;СЗФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;49791
Архангельская область;СЗФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;3641
Астраханская  область;ЮФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;39500
Астраханская  область;ЮФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;65000
Астраханская  область;ЮФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;
Астраханская  область;ЮФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;42
Астраханская  область;ЮФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;4765
Астраханская  область;ЮФО;2021;      в печатных средствах массовой информации;39;ед;70
Астраханская  область;ЮФО;2021;      в интернет-СМИ;40;ед;4275
Астраханская  область;ЮФО;2021;      ТВ-сюжетов;41;ед;420
Астраханская  область;ЮФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;150
Астраханская  область;ЮФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;15
Астраханская  область;ЮФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;27162
Астраханская  область;ЮФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;8815
Республика Башкортостан;ПФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;343031
Республика Башкортостан;ПФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;1347561
Республика Башкортостан;ПФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;1323000
Республика Башкортостан;ПФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;308
Республика Башкортостан;ПФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;3218
Республика Башкортостан;ПФО;2021;      в печатных средствах массовой информации;39;ед;891
Республика Башкортостан;ПФО;2021;      в интернет-СМИ;40;ед;1876
Республика Башкортостан;ПФО;2021;      ТВ-сюжетов;41;ед;451
Республика Башкортостан;ПФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;134
Республика Башкортостан;ПФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;53
Республика Башкортостан;ПФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;1691
Республика Башкортостан;ПФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;1391
Белгородская область;ЦФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;13487
Белгородская область;ЦФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;48569
Белгородская область;ЦФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;4600
Белгородская область;ЦФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;34
Белгородская область;ЦФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;1450
Белгородская область;ЦФО;2021;      в печатных средствах массовой информации;39;ед;932
Белгородская область;ЦФО;2021;      в интернет-СМИ;40;ед;327
Белгородская область;ЦФО;2021;      ТВ-сюжетов;41;ед;191
Белгородская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;8
Белгородская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;72
Белгородская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;8544
Белгородская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;699
Брянская область;ЦФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;39348
Брянская область;ЦФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;131108
Брянская область;ЦФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;1000000
Брянская область;ЦФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;1387
Брянская область;ЦФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;34416
Брянская область;ЦФО;2021;      в печатных средствах массовой информации;39;ед;33100
Брянская область;ЦФО;2021;      в интернет-СМИ;40;ед;1019
Брянская область;ЦФО;2021;      ТВ-сюжетов;41;ед;297
Брянская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;98
Брянская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;8
Брянская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;5416
Брянская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;1954
Республика Бурятия;ДФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;16500
Республика Бурятия;ДФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;648500
Республика Бурятия;ДФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;828050
Республика Бурятия;ДФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;18
Республика Бурятия;ДФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;3583
Республика Бурятия;ДФО;2021;      в печатных средствах массовой информации;39;ед;80
Республика Бурятия;ДФО;2021;      в интернет-СМИ;40;ед;3076
Республика Бурятия;ДФО;2021;      ТВ-сюжетов;41;ед;427
Республика Бурятия;ДФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;25
Республика Бурятия;ДФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;20
Республика Бурятия;ДФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;24000
Республика Бурятия;ДФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;1235
Владимирская область;ЦФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;14642
Владимирская область;ЦФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;235616
Владимирская область;ЦФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;764907
Владимирская область;ЦФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;19
Владимирская область;ЦФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;950
Владимирская область;ЦФО;2021;      в печатных средствах массовой информации;39;ед;234
Владимирская область;ЦФО;2021;      в интернет-СМИ;40;ед;646
Владимирская область;ЦФО;2021;      ТВ-сюжетов;41;ед;70
Владимирская область;ЦФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;19
Владимирская область;ЦФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;117
Владимирская область;ЦФО;2021;Численность подписчиков / участников сообществ регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;44;чел;7484
Владимирская область;ЦФО;2021;Количество публикаций в сообществах регионального органа исполнительной власти, реализующего государственную молодeжную политику в социальных сетях;45;ед;496
Волгоградская область;ЮФО;2021;Численость уникальных пользователей, посетивших официальный сайт регионального органа исполнительной власти, реализующего государственную молодeжную политику;34;чел;96000
Волгоградская область;ЮФО;2021;Количество просмотров официального сайта органа исполнительной власти, реализующего государственную молодeжную политику;35;ед;397166
Волгоградская область;ЮФО;2021;Финансирование информационного освещения реализации государственной молодeжной политики;36;руб;2308300
Волгоградская область;ЮФО;2021;Количество статей, опубликованных в главном правительственном печатном издании субъекта Российской Федерации о реализации государственной молодeжной политики в регионе;37;ед;234
Волгоградская область;ЮФО;2021;Количество упоминаний реагионального органа исполнительной власти, реализующего государственную молодeжную политику, в том числе:;38;ед;9670
Волгоградская область;ЮФО;2021;      в печатных средствах массовой информации;39;ед;1254
Волгоградская область;ЮФО;2021;      в интернет-СМИ;40;ед;7385
Волгоградская область;ЮФО;2021;      ТВ-сюжетов;41;ед;1031
Волгоградская область;ЮФО;2021;Количество статей, опубликованных региональным органом исполнительной власти, реализующим государственную молодeжную политику, направленных пресс-службой федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;42;ед;48
Волгоградская область;ЮФО;2021;Количество новостей, опубликованных от региона на официальном сайте федерального органа исполнительной власти, осуществляющего функции по оказанию государственных услуг и управлению государственным имуществом в сфере государственной молодeжной политики;43;ед;160
